name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
I Want In *by* 88rising,0.493,0.69,7,-4.768,1,0.275,0.42,0,0.126,0.478,76.85,audio_features,5ZaaHM8HRizjncGBAIfK0C,spotify:track:5ZaaHM8HRizjncGBAIfK0C,https://api.spotify.com/v1/tracks/5ZaaHM8HRizjncGBAIfK0C,https://api.spotify.com/v1/audio-analysis/5ZaaHM8HRizjncGBAIfK0C,150295,5
No More (feat. NIKI) *by* Higher Brothers,0.75,0.651,10,-6.684,0,0.11,0.436,2.15e-06,0.0776,0.61,142.118,audio_features,7lxcmd6V6iFDgtw9urFsGB,spotify:track:7lxcmd6V6iFDgtw9urFsGB,https://api.spotify.com/v1/tracks/7lxcmd6V6iFDgtw9urFsGB,https://api.spotify.com/v1/audio-analysis/7lxcmd6V6iFDgtw9urFsGB,229859,4
Clocked Out! *by* AUDREY NUNA,0.743,0.72,0,-7.789,1,0.14,0.0351,0.00333,0.287,0.117,127.983,audio_features,4aZXxStzucuminkE8up916,spotify:track:4aZXxStzucuminkE8up916,https://api.spotify.com/v1/tracks/4aZXxStzucuminkE8up916,https://api.spotify.com/v1/audio-analysis/4aZXxStzucuminkE8up916,190080,4
Forever (feat. NIKI) *by* End of the World,0.582,0.762,11,-5.792,1,0.0633,0.258,0,0.364,0.372,81.009,audio_features,2wyp1XPf7VKe7mTljnsMs8,spotify:track:2wyp1XPf7VKe7mTljnsMs8,https://api.spotify.com/v1/tracks/2wyp1XPf7VKe7mTljnsMs8,https://api.spotify.com/v1/audio-analysis/2wyp1XPf7VKe7mTljnsMs8,176187,4
Poolside Manor *by* 88rising,0.588,0.541,10,-7.212,1,0.0626,0.417,0,0.107,0.0816,77.478,audio_features,6XexzlVsjQOuNQ5pcfWOdq,spotify:track:6XexzlVsjQOuNQ5pcfWOdq,https://api.spotify.com/v1/tracks/6XexzlVsjQOuNQ5pcfWOdq,https://api.spotify.com/v1/audio-analysis/6XexzlVsjQOuNQ5pcfWOdq,170527,4
Starboy *by* The Weeknd,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,audio_features,7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,230453,4
Blinding Lights *by* The Weeknd,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
In Your Eyes *by* The Weeknd,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,audio_features,7szuecWAPwGoV1e5vGu8tl,spotify:track:7szuecWAPwGoV1e5vGu8tl,https://api.spotify.com/v1/tracks/7szuecWAPwGoV1e5vGu8tl,https://api.spotify.com/v1/audio-analysis/7szuecWAPwGoV1e5vGu8tl,237520,4
"Hey, Soul Sister *by* Train",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,audio_features,4HlFJV71xXKIGcU3kRyttv,spotify:track:4HlFJV71xXKIGcU3kRyttv,https://api.spotify.com/v1/tracks/4HlFJV71xXKIGcU3kRyttv,https://api.spotify.com/v1/audio-analysis/4HlFJV71xXKIGcU3kRyttv,216773,4
Kids Are Born Stars *by* Lauv,0.802,0.547,8,-7.034,1,0.0518,0.205,0,0.109,0.922,109.966,audio_features,2pD74s7WAlBWUXjrTsKgdS,spotify:track:2pD74s7WAlBWUXjrTsKgdS,https://api.spotify.com/v1/tracks/2pD74s7WAlBWUXjrTsKgdS,https://api.spotify.com/v1/audio-analysis/2pD74s7WAlBWUXjrTsKgdS,187026,4
